2023-12-16 09:33:24.863 [info] Log level: Info
2023-12-16 09:33:24.864 [info] Validating found git in: "git"
2023-12-16 09:33:24.864 [info] Using git "2.25.1" from "git"
2023-12-16 09:33:24.864 [info] > git rev-parse --show-toplevel [17ms]
2023-12-16 09:33:24.864 [info] > git rev-parse --show-toplevel [3ms]
2023-12-16 09:33:24.874 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 09:33:24.885 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 09:33:24.910 [info] > git rev-parse --show-toplevel [9ms]
2023-12-16 09:33:24.943 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 09:33:24.955 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 09:33:24.965 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 09:33:24.979 [info] > git rev-parse --show-toplevel [4ms]
2023-12-16 09:33:24.997 [info] > git rev-parse --show-toplevel [6ms]
2023-12-16 09:33:25.023 [info] > git rev-parse --show-toplevel [6ms]
2023-12-16 09:33:25.038 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 09:33:26.310 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 09:35:26.695 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 09:35:31.217 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 09:35:40.008 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 09:35:41.879 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 09:36:16.512 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 09:36:19.789 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 09:36:44.471 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 09:37:16.167 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 09:37:30.948 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 09:38:54.188 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 09:39:02.566 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 09:39:39.877 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 09:39:53.877 [info] > git rev-parse --show-toplevel [9ms]
2023-12-16 09:40:03.862 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 09:40:35.830 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 09:40:55.796 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 09:41:15.396 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 09:41:16.831 [info] > git rev-parse --show-toplevel [3ms]
2023-12-16 09:41:28.683 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 09:41:50.690 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 09:42:24.298 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 09:44:39.741 [info] > git rev-parse --show-toplevel [3ms]
2023-12-16 09:46:09.464 [info] > git rev-parse --show-toplevel [2ms]
2023-12-16 09:50:00.391 [info] > git rev-parse --show-toplevel [3ms]
2023-12-16 09:50:14.720 [info] > git rev-parse --show-toplevel [3ms]
2023-12-16 09:50:19.215 [info] > git rev-parse --show-toplevel [1ms]
2023-12-16 10:11:42.573 [info] > git rev-parse --show-toplevel [9ms]
2023-12-16 10:11:43.749 [info] > git rev-parse --show-toplevel [4ms]
